City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Said,EG,31.2565,32.2841,58.86,62,82,13.06,broken clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,69.1,87,42,8.99,scattered clouds
80,Labuhan,ID,-6.8844,112.2051,82.9,73,100,7.45,light rain
81,Nizhniy Tsasuchey,RU,50.5167,115.1333,2.21,76,100,6.42,overcast clouds
82,Shubarshi,KZ,48.5872,57.1869,3.56,79,3,6.15,clear sky
83,Nikolskoye,RU,59.7035,30.7861,33.8,97,100,11.07,light snow
84,Bol,TD,13.4586,14.7147,66.94,38,13,18.3,few clouds
85,Sitka,US,57.0531,-135.33,42.69,87,100,4.61,mist
86,Lagoa,PT,39.05,-27.9833,54.37,61,46,4.52,scattered clouds
87,Luis Correia,BR,-2.8792,-41.6669,77.05,88,100,8.81,moderate rain
88,Hithadhoo,MV,-0.6,73.0833,79.74,66,92,6.26,overcast clouds
89,Albany,US,42.6001,-73.9662,22.57,81,8,6.42,clear sky
90,Mana,GF,5.6592,-53.7767,73.76,92,100,5.82,overcast clouds
91,Tadine,NC,-21.55,167.8833,80.35,64,91,12.93,overcast clouds
92,Kulhudhuffushi,MV,6.6221,73.07,79.09,72,74,7.7,broken clouds
93,Padang,ID,-0.9492,100.3543,82.45,68,93,2.26,overcast clouds
94,Kapaa,US,22.0752,-159.319,79.12,73,40,5.75,scattered clouds
95,Alta Floresta,BR,-9.8756,-56.0861,70.92,91,100,2.77,overcast clouds
96,Uhlove,UA,44.8215,33.6045,44.02,82,60,6.69,broken clouds
97,Chochola,MX,20.75,-89.8333,68.02,81,0,6.58,clear sky
98,Savannakhet,LA,16.566,104.751,77.25,52,0,17.45,clear sky
99,Biltine,TD,14.5333,20.9167,63.9,27,76,8.61,broken clouds
100,Kirkenaer,NO,60.4564,12.0582,14.02,99,100,1.45,overcast clouds
101,Huangmei,CN,30.1924,116.025,35.13,50,3,4.79,clear sky
102,Puerto Ayora,EC,-0.7393,-90.3518,75.54,95,28,6.35,scattered clouds
103,Vestmannaeyjar,IS,63.4427,-20.2734,23.18,65,0,8.75,clear sky
104,The Valley,AI,18.217,-63.0578,76.1,72,0,1.99,clear sky
105,Maniitsoq,GL,65.4167,-52.9,2.01,85,100,25.99,light snow
106,Pauini,BR,-7.7136,-66.9764,74.19,95,100,1.45,overcast clouds
107,Yangambi,CD,0.8102,24.4336,71.28,84,100,1.03,overcast clouds
108,Chenghai,CN,23.4632,116.768,52.16,60,100,8.25,overcast clouds
109,Santa Ana,US,33.7456,-117.8678,55.31,91,100,13.8,moderate rain
110,Tiksi,RU,71.6872,128.8694,-29.6,100,100,5.44,overcast clouds
111,Hobart,AU,-42.8794,147.3294,71.28,48,20,14.97,few clouds
112,Malakal,SS,9.5334,31.6605,75.47,17,90,7.74,overcast clouds
113,Mahebourg,MU,-20.4081,57.7,79.25,75,27,17.05,scattered clouds
114,Anadyr,RU,64.75,177.4833,-7.01,76,40,11.18,scattered clouds
115,Yuli,NG,9.6989,10.2744,64.4,29,4,6.38,clear sky
116,Dikson,RU,73.5069,80.5464,-33.84,92,5,4.29,clear sky
117,Saint-Georges,GD,12.0564,-61.7485,76.68,88,20,10.36,few clouds
118,Saint George,US,37.1041,-113.5841,48.25,70,75,8.05,broken clouds
119,Kabin Buri,TH,13.9511,101.7177,83.14,55,4,0.92,clear sky
120,Oranjestad,AW,12.524,-70.027,78.91,85,24,1.01,few clouds
121,Port Pirie,AU,-33.1833,138.0167,92.05,25,19,6.55,light rain
122,Svetlaya,RU,46.5389,138.3297,8.8,43,0,8.34,clear sky
123,Pevek,RU,69.7008,170.3133,-31.76,99,38,3.09,scattered clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,71.91,56,0,10.36,clear sky
125,Fergus Falls,US,46.283,-96.0776,30.27,89,0,8.05,clear sky
126,Mahajanga,MG,-15.7167,46.3167,77.02,94,40,3.44,scattered clouds
127,Xining,CN,36.6167,101.7667,9.9,79,100,3.15,overcast clouds
128,Ilhabela,BR,-23.7781,-45.3581,75.54,91,100,1.97,overcast clouds
129,Port Elizabeth,ZA,-33.918,25.5701,69.31,93,45,5.01,scattered clouds
130,Neiafu,TO,-18.65,-173.9833,88.48,74,75,10.36,light rain
131,Thompson,CA,55.7435,-97.8558,9.1,96,100,3.29,light snow
132,Tessalit,ML,20.1986,1.0114,61.57,21,0,11.3,clear sky
133,Mahanoro,MG,-19.9,48.8,72.54,90,19,5.21,light rain
134,Lompoc,US,34.6391,-120.4579,50.77,96,40,17.27,scattered clouds
135,Anloga,GH,5.7947,0.8973,79.47,80,15,3.56,few clouds
136,Prince Rupert,CA,54.3161,-130.3201,41.09,100,100,3.44,light rain
137,Tanout,NE,14.9709,8.8879,57.25,26,98,13.02,overcast clouds
138,Byron Bay,AU,-28.65,153.6167,83.95,61,69,10.78,broken clouds
139,Pisco,PE,-13.7,-76.2167,69.85,78,0,4.61,clear sky
140,Ancud,CL,-41.8697,-73.8203,50.18,86,72,5.41,broken clouds
141,Tura,IN,25.5198,90.2201,64.6,41,0,2.08,clear sky
142,Sao Filipe,CV,14.8961,-24.4956,75.0,67,79,4.23,broken clouds
143,Shagonar,RU,51.5333,92.8,-11.51,98,91,1.05,overcast clouds
144,Ugoofaaru,MV,5.6667,73.0,80.22,73,70,11.74,broken clouds
145,Acapulco,MX,16.8634,-99.8901,78.62,83,40,6.91,scattered clouds
146,Savannah Bight,HN,16.45,-85.85,77.99,53,5,11.77,clear sky
147,Oster,UA,50.9506,30.8823,31.77,92,100,13.51,overcast clouds
148,Klaksvik,FO,62.2266,-6.589,32.92,72,100,24.52,light snow
149,Pedernales,DO,18.0384,-71.744,74.64,75,3,3.38,light rain
150,Conakry,GN,9.538,-13.6773,76.84,76,48,6.35,scattered clouds
151,Sadove,UA,46.2487,30.1795,41.14,86,100,14.45,overcast clouds
152,East London,ZA,-33.0153,27.9116,70.95,88,100,7.7,overcast clouds
153,Qaqortoq,GL,60.7167,-46.0333,12.92,62,36,34.36,scattered clouds
154,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,4.61,clear sky
155,Komsomolskiy,UZ,40.4272,71.7189,9.32,78,4,4.61,mist
156,Samarai,PG,-10.6167,150.6667,86.2,70,82,4.43,broken clouds
157,Banawang,PH,14.6121,120.39,82.26,75,98,12.03,overcast clouds
158,Coffs Harbour,AU,-30.3,153.1333,81.14,61,1,10.36,clear sky
159,Maumere,ID,-8.6199,122.2111,83.34,74,90,6.73,overcast clouds
160,Salalah,OM,17.0151,54.0924,69.89,83,20,2.3,few clouds
161,Carnarvon,AU,-24.8667,113.6333,78.91,58,0,21.65,clear sky
162,Obo,CF,5.3998,26.4869,70.11,30,99,5.79,overcast clouds
163,Takoradi,GH,4.8845,-1.7554,77.92,85,20,4.72,light rain
164,Upernavik,GL,72.7868,-56.1549,1.94,73,100,6.64,overcast clouds
165,Salinas,US,36.6777,-121.6555,49.91,87,100,6.91,moderate rain
166,Orchard Homes,US,46.8633,-114.0484,35.85,92,75,5.01,broken clouds
167,Derzhavinsk,KZ,51.1,66.3167,-4.47,87,12,6.15,few clouds
168,Sao Cristovao,BR,-11.0147,-37.2064,78.71,73,20,8.05,few clouds
169,Bethel,US,41.3712,-73.414,34.48,55,40,6.91,scattered clouds
170,Port Hardy,CA,50.6996,-127.4199,43.59,89,100,1.63,light rain
171,Tripoli,LY,32.8752,13.1875,55.94,55,0,16.4,clear sky
172,Mbutuy,PY,-24.9667,-56.3,73.35,82,87,3.78,overcast clouds
173,Tabuk,PH,17.4189,121.4443,76.86,76,90,7.61,overcast clouds
174,Saskylakh,RU,71.9167,114.0833,-37.7,96,100,4.79,overcast clouds
175,Windhoek,NA,-22.5594,17.0832,70.43,58,67,2.68,broken clouds
176,Santa Rosa,PH,14.3122,121.1114,83.1,78,100,13.13,overcast clouds
177,San Cristobal,VE,7.7669,-72.225,68.18,95,66,2.17,broken clouds
178,Phonhong,LA,18.5007,102.4166,74.41,48,1,1.74,clear sky
179,Capitao Poco,BR,-1.7464,-47.0594,71.06,99,100,2.8,overcast clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.13,87,62,17.63,broken clouds
181,Alugan,PH,12.2188,125.4808,81.32,82,71,5.66,broken clouds
182,Olga,RU,43.7444,135.2892,11.68,42,0,12.95,clear sky
183,Pacific Grove,US,36.6177,-121.9166,48.78,92,100,8.99,moderate rain
184,Am Timan,TD,11.0297,20.2827,69.3,25,22,6.38,few clouds
185,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,51,13.51,broken clouds
186,Okato,NZ,-39.2,173.8833,67.68,65,34,5.3,scattered clouds
187,Victoria,HK,22.2855,114.1577,57.25,74,90,15.01,overcast clouds
188,Mackenzie,CA,55.2999,-123.1698,28.36,98,99,1.21,overcast clouds
189,Katsuura,JP,35.1333,140.3,51.82,87,100,5.14,overcast clouds
190,Nisia Floresta,BR,-6.0911,-35.2086,76.01,83,92,6.26,overcast clouds
191,Ribeira Grande,PT,38.5167,-28.7,51.78,81,31,8.99,scattered clouds
192,Dingle,PH,10.9995,122.6711,82.74,79,35,5.97,scattered clouds
193,Roald,NO,62.5833,6.1333,37.33,93,75,8.05,light rain
194,Buin,CL,-33.7333,-70.75,73.74,63,1,2.37,clear sky
195,Tarko-Sale,RU,64.9225,77.785,12.61,97,99,5.08,overcast clouds
196,Bengkulu,ID,-3.8004,102.2655,81.88,68,51,3.13,broken clouds
197,Gazanjyk,TM,39.2446,55.5154,24.94,76,100,13.69,overcast clouds
198,Sabinas,MX,27.85,-101.1167,66.0,40,83,9.75,broken clouds
199,Akdepe,TM,42.0551,59.3788,18.57,51,68,7.7,broken clouds
200,Namibe,AO,-15.1961,12.1522,72.12,81,100,1.61,overcast clouds
201,Souris,CA,49.6172,-100.2612,23.74,96,100,3.96,overcast clouds
202,Tuatapere,NZ,-46.1333,167.6833,75.65,42,22,4.56,few clouds
203,Ilulissat,GL,69.2167,-51.1,12.22,79,100,9.22,light snow
204,Ulaanbaatar,MN,47.9077,106.8832,-18.27,69,36,2.24,scattered clouds
205,Kursumlija,RS,43.1458,21.2686,36.09,89,100,5.66,overcast clouds
206,Tulum,MX,20.2167,-87.4667,67.24,71,3,6.31,clear sky
207,Humberto De Campos,BR,-2.5983,-43.4611,74.35,94,100,3.09,moderate rain
208,Srednekolymsk,RU,67.45,153.6833,-44.16,99,73,6.46,broken clouds
209,Honiara,SB,-9.4333,159.95,84.43,69,98,4.09,overcast clouds
210,Puerto Gaitan,CO,4.3133,-72.0816,83.17,46,46,8.59,scattered clouds
211,Kurchum,KZ,48.5722,83.6542,-8.61,95,100,0.81,overcast clouds
212,Touros,BR,-5.1989,-35.4608,78.66,76,100,10.89,overcast clouds
213,Lithakia,GR,37.7167,20.8333,42.17,63,0,4.34,clear sky
214,Paamiut,GL,61.994,-49.6678,11.62,77,100,22.53,light snow
215,Oktyabrskiy,RU,54.4815,53.471,-2.9,87,21,5.55,few clouds
216,Faanui,PF,-16.4833,-151.75,80.11,68,100,16.73,light rain
217,Honningsvag,NO,70.9821,25.9704,29.95,86,100,13.8,light snow
218,Northam,GB,51.0333,-4.2167,42.62,86,100,24.34,overcast clouds
219,Lorena,BR,-22.7308,-45.1247,69.62,95,100,1.39,overcast clouds
220,Faya,SA,18.3851,42.4509,46.92,73,9,1.05,clear sky
221,San Sebastian,ES,43.3128,-1.975,51.64,63,40,23.02,light rain
222,Khandyga,RU,62.6667,135.6,-46.01,90,100,1.21,overcast clouds
223,Suntar,RU,62.1444,117.6319,-62.75,98,92,0.96,overcast clouds
224,Codajas,BR,-3.8367,-62.0569,72.18,99,58,2.15,broken clouds
225,Noumea,NC,-22.2763,166.4572,88.0,99,84,18.39,broken clouds
226,Lethem,GY,3.3803,-59.7968,76.03,81,100,8.39,overcast clouds
227,New Norfolk,AU,-42.7826,147.0587,70.92,33,0,3.0,clear sky
228,Esperance,AU,-33.8667,121.9,71.1,78,100,23.4,overcast clouds
229,Khilok,RU,51.3674,110.4676,2.55,87,98,12.01,overcast clouds
230,Saint-Joseph,RE,-21.3667,55.6167,75.58,77,33,12.95,scattered clouds
231,Pingliang,CN,35.5392,106.6861,20.28,32,100,9.31,overcast clouds
232,Mount Gambier,AU,-37.8333,140.7667,81.99,25,0,4.97,clear sky
233,Ngunguru,NZ,-35.6167,174.5,66.85,76,21,16.42,few clouds
234,Cayenne,GF,4.9333,-52.3333,71.64,100,75,0.0,broken clouds
235,Ouadda,CF,8.0777,22.4007,67.17,29,100,5.84,overcast clouds
236,Bloomingdale,US,27.8936,-82.2404,50.32,75,0,0.0,clear sky
237,Barcelos,PT,41.5388,-8.6151,53.74,90,100,20.31,overcast clouds
238,Omboue,GA,-1.5746,9.2618,76.35,88,100,5.53,overcast clouds
239,Dangriga,BZ,16.9692,-88.2321,74.03,73,71,11.23,broken clouds
240,Akyab,MM,20.15,92.9,70.27,55,0,6.42,clear sky
241,Do Gonbadan,IR,30.3586,50.7981,53.29,73,73,4.43,broken clouds
242,Leningradskiy,RU,69.3833,178.4167,-29.33,100,97,0.74,overcast clouds
243,Novoselitskoye,RU,44.7508,43.4369,35.35,73,100,11.1,overcast clouds
244,Santa Cruz,BO,-17.8,-63.1667,71.06,94,29,4.61,scattered clouds
245,Asau,RO,46.4333,26.4,31.28,82,49,5.46,scattered clouds
246,Kingman,US,35.1894,-114.053,48.25,76,100,5.75,light rain
247,Chatellerault,FR,46.8,0.5333,45.55,1,100,25.75,overcast clouds
248,Yicheng,CN,31.3705,119.8703,33.44,38,0,7.94,clear sky
249,Saravena,CO,6.9538,-71.8752,72.61,75,42,4.05,scattered clouds
250,Lengshuitan,CN,26.4111,111.5956,39.31,35,45,9.48,scattered clouds
251,Valente,BR,-11.4122,-39.4619,68.11,89,85,5.3,overcast clouds
252,Qiongshan,CN,20.0058,110.3542,60.21,79,97,15.88,overcast clouds
253,Kloulklubed,PW,7.0419,134.2556,82.9,76,32,10.6,scattered clouds
254,Kharan,PK,28.5833,65.4167,36.19,35,0,4.25,clear sky
255,Daitari,IN,21.1,85.75,67.77,70,0,4.32,clear sky
256,Kautokeino,NO,69.0125,23.0412,15.82,95,100,12.37,light snow
257,Charkhi Dadri,IN,28.6,76.2667,43.77,42,2,3.2,clear sky
258,Nakamura,JP,32.9833,132.9333,56.12,65,40,10.65,scattered clouds
259,Mykolayivka,UA,47.5414,30.7561,36.5,98,100,11.63,overcast clouds
260,Tual,ID,-5.6667,132.75,83.62,74,98,7.29,overcast clouds
261,Kwinana,AU,-32.25,115.7667,76.15,50,0,11.99,clear sky
262,Lorengau,PG,-2.0226,147.2712,83.79,69,72,3.67,broken clouds
263,Morristown,US,36.214,-83.2949,36.7,66,0,0.0,clear sky
264,Thinadhoo,MV,0.5333,72.9333,78.89,72,100,2.55,overcast clouds
265,Hasaki,JP,35.7333,140.8333,44.22,83,100,14.29,light rain
266,Richards Bay,ZA,-28.783,32.0377,70.84,95,5,5.03,clear sky
267,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,17.27,light snow
268,Wajima,JP,37.4,136.9,39.61,86,100,16.37,light rain
269,Quesnel,CA,52.9999,-122.5029,35.35,100,100,1.79,overcast clouds
270,Kruisfontein,ZA,-34.0033,24.7314,62.29,92,71,5.95,broken clouds
271,Bairiki,KI,1.3292,172.9752,86.0,70,40,13.8,scattered clouds
272,Birin,NP,26.8865,88.0718,48.07,65,14,2.93,few clouds
273,Marshalltown,US,42.0494,-92.908,41.38,75,40,14.97,scattered clouds
274,Khasan,RU,42.4308,130.6434,15.75,36,0,19.98,clear sky
275,Yulara,AU,-25.2406,130.9889,96.17,19,3,15.57,clear sky
276,Marzuq,YE,14.4,46.4667,58.89,67,86,4.72,overcast clouds
277,Verkhnyaya Inta,RU,65.9811,60.3094,25.03,93,98,18.92,overcast clouds
278,Praia Da Vitoria,PT,38.7333,-27.0667,50.76,93,40,4.85,scattered clouds
279,Alofi,NU,-19.0595,-169.9187,82.29,74,60,5.75,broken clouds
280,Nantucket,US,41.2835,-70.0995,38.14,93,100,31.07,overcast clouds
281,Veliki Trnovac,RS,42.4767,21.7405,34.47,91,93,3.06,overcast clouds
282,Afzalpur,IN,17.2,76.35,71.71,41,0,6.96,clear sky
283,Jardim,BR,-21.4803,-56.1381,71.53,92,16,2.57,few clouds
284,Vardo,NO,70.3705,31.1107,33.78,93,100,24.16,light snow
285,San Patricio,US,28.017,-97.5169,68.85,75,67,18.34,broken clouds
286,Mandalgovi,MN,45.7625,106.2708,7.68,47,94,8.32,overcast clouds
287,Bell Ville,AR,-32.6259,-62.6887,76.66,33,1,4.21,clear sky
288,Salvacion,PH,7.9833,126.1333,85.93,70,86,1.99,overcast clouds
289,Aksarka,RU,66.5606,67.7975,4.91,99,96,2.66,overcast clouds
290,Tecoanapa,MX,16.5167,-98.75,76.6,83,0,7.16,clear sky
291,Izhma,RU,65.0083,53.9113,27.41,91,99,10.27,overcast clouds
292,Kachiry,KZ,53.0675,76.1036,7.09,92,69,10.69,broken clouds
293,Hobyo,SO,5.3505,48.5268,77.67,61,92,20.24,overcast clouds
294,Kodiak,US,57.79,-152.4072,36.91,93,100,14.97,light rain
295,Coruripe,BR,-10.1256,-36.1756,75.18,82,43,2.89,scattered clouds
296,Kavieng,PG,-2.5744,150.7967,83.08,75,70,7.14,light rain
297,Tahe,CN,52.3333,124.7333,-9.99,78,18,2.39,few clouds
298,Hervey Bay,AU,-25.2986,152.8535,80.02,83,100,7.0,light rain
299,Meulaboh,ID,4.1363,96.1285,80.92,74,53,2.66,broken clouds
300,Kattivakkam,IN,13.2167,80.3167,73.49,72,2,4.72,clear sky
301,Davila,PH,18.4726,120.5763,80.58,85,98,30.29,overcast clouds
302,Russell,US,32.3502,-85.1999,43.83,86,0,0.0,clear sky
303,Chicama,PE,-7.8447,-79.1469,66.74,68,100,4.05,overcast clouds
304,Mayo,US,38.8876,-76.5119,38.14,52,0,3.0,clear sky
305,Menongue,AO,-14.6585,17.691,62.85,94,100,4.29,light rain
306,Saiha,IN,22.4833,92.9667,65.86,47,0,2.48,clear sky
307,Bay Roberts,CA,47.5999,-53.2648,34.14,95,100,20.0,light rain
308,Cernat,RO,45.95,26.0333,31.66,89,53,1.68,broken clouds
309,Tocopilla,CL,-22.092,-70.1979,68.9,71,0,2.01,clear sky
310,Kirakira,SB,-10.4544,161.9205,83.01,72,100,5.79,overcast clouds
311,Morondava,MG,-20.2833,44.2833,77.58,81,3,7.2,clear sky
312,Yeppoon,AU,-23.1333,150.7333,76.78,93,100,19.04,overcast clouds
313,Talara,PE,-4.5772,-81.2719,70.75,79,100,11.79,overcast clouds
314,Mvuma,ZW,-19.2792,30.5283,62.58,87,34,7.94,scattered clouds
315,Poum,NC,-20.2333,164.0167,80.29,74,91,12.24,overcast clouds
316,Allapalli,IN,19.4167,80.0667,68.88,52,0,3.44,clear sky
317,Ahuimanu,US,21.4447,-157.8378,80.31,75,75,11.5,broken clouds
318,Hambantota,LK,6.1241,81.1185,77.45,78,74,9.28,broken clouds
319,Hanzhong,CN,33.0728,107.0303,31.66,47,98,0.67,overcast clouds
320,Lagunas,PE,-5.2269,-75.6753,72.97,91,100,1.97,overcast clouds
321,Lyndon,US,38.2567,-85.6016,38.55,60,0,8.05,clear sky
322,Altamira,BR,-3.2033,-52.2064,70.32,99,100,2.06,overcast clouds
323,Bathsheba,BB,13.2167,-59.5167,77.61,83,40,11.5,light intensity shower rain
324,Anshun,CN,26.25,105.9333,30.79,73,100,6.26,overcast clouds
325,Elko,US,41.0002,-115.5012,28.42,94,100,2.37,overcast clouds
326,Okhotsk,RU,59.3833,143.3,-8.95,88,100,15.82,overcast clouds
327,Minsk,BY,53.9,27.5667,31.75,99,100,11.99,snow
328,General Roca,AR,-39.0333,-67.5833,75.61,25,0,12.06,clear sky
329,Buraydah,SA,26.326,43.975,48.65,71,94,9.04,overcast clouds
330,Denpasar,ID,-8.65,115.2167,87.46,74,40,12.66,scattered clouds
331,Bilibino,RU,68.0546,166.4372,-24.66,95,86,6.91,overcast clouds
332,Ust-Nera,RU,64.5667,143.2,-22.16,98,100,8.37,overcast clouds
333,Quelimane,MZ,-17.8786,36.8883,75.15,94,20,0.0,few clouds
334,Umm Lajj,SA,25.0213,37.2685,65.5,60,100,9.51,overcast clouds
335,Asosa,ET,10.0667,34.5333,64.99,35,92,7.09,overcast clouds
336,Kavaratti,IN,10.5669,72.642,79.12,71,46,12.84,scattered clouds
337,Mabaruma,GY,8.2,-59.7833,72.16,93,52,3.36,broken clouds
338,Moree,AU,-29.4667,149.85,92.93,25,0,5.55,clear sky
339,Jumla,NP,29.2747,82.1838,42.69,9,100,3.42,overcast clouds
340,Ampanihy,MG,-24.7,44.75,72.19,76,0,5.82,clear sky
341,Acarau,BR,-2.8856,-40.12,77.38,87,100,9.98,overcast clouds
342,Szikszo,HU,48.2,20.9333,39.0,96,100,2.06,overcast clouds
343,Fuling,CN,29.7022,107.3919,39.16,82,99,3.11,overcast clouds
344,Puerto Narino,CO,-3.7703,-70.3831,72.39,98,99,0.34,overcast clouds
345,Yining,CN,29.0361,114.5636,37.56,47,7,2.82,clear sky
346,Aden,YE,12.7794,45.0367,76.41,69,61,12.68,broken clouds
347,Lulea,SE,65.5842,22.1547,33.87,100,100,20.71,light intensity shower rain
348,Margate,GB,51.3813,1.3862,41.9,88,100,7.0,light rain
